N,forward,backward,random
1,18,18,15
1.00391,16,15,15
1.00781,16,15,15
1.01172,16,15,15
1.01562,16,15,14
1.01953,14,14,14
1.02344,14,14,14
1.02734,14,14,14
1.03125,14,14,13
1.03516,13,13,13
1.03906,13,13,13
1.04297,13,13,13
1.04688,13,13,13
1.05078,13,13,13
1.05469,13,13,13
1.05859,13,13,13
1.0625,13,13,13
1.06641,13,13,13
1.07031,13,13,13
1.07422,13,13,13
1.07812,13,13,13
1.08203,13,13,13
1.08594,13,13,13
1.08984,13,14,13
1.09375,13,13,13
1.09766,13,13,13
1.10156,14,14,13
1.10547,13,14,13
1.10938,14,14,13
1.11328,14,14,13
1.11719,14,14,13
1.12109,15,15,14
1.125,15,15,14
1.12891,15,15,14
1.13281,14,15,14
1.13672,14,15,14
1.14062,15,15,14
1.14453,15,15,14
1.14844,15,15,14
1.15234,14,15,14
1.15625,15,15,13
1.16016,14,14,14
1.16406,14,14,14
1.16797,14,14,14
1.17188,14,15,14
1.17578,14,15,14
1.17969,15,15,14
1.18359,15,15,14
1.1875,15,16,15
1.19141,16,16,15
1.19531,16,16,15
1.19922,15,16,17
1.20312,17,17,17
1.20703,18,18,19
1.21094,20,20,19
1.21484,20,19,18
1.21875,19,20,18
1.22266,20,18,17
1.22656,18,17,17
1.23047,18,18,15
1.23438,16,16,15
1.23828,16,16,15
1.24219,15,15,14
1.24609,14,14,14
1.25,14,14,14
1.25391,14,14,14
1.25781,14,14,15
1.26172,19,19,17
1.26562,15,15,15
1.26953,15,15,14
1.27344,14,14,14
1.27734,14,14,14
1.28125,14,14,14
1.28516,14,14,14
1.28906,14,14,14
1.29297,14,14,15
1.29688,15,15,15
1.30078,15,15,15
1.30469,15,15,14
1.30859,14,14,14
1.3125,14,14,14
1.31641,14,14,14
1.32031,14,14,14
1.32422,14,14,14
1.32812,14,14,14
1.33203,14,14,14
1.33594,14,14,14
1.33984,14,14,14
1.34375,14,14,14
1.34766,14,14,14
1.35156,14,14,14
1.35547,14,14,14
1.35938,14,14,15
1.36328,15,15,15
1.36719,15,15,15
1.37109,15,15,15
1.375,15,15,15
1.37891,15,15,15
1.38281,15,15,15
1.38672,15,15,15
1.39062,15,15,15
1.39453,15,15,14
1.39844,14,14,14
1.40234,14,14,14
1.40625,14,14,14
1.41016,14,14,14
1.41406,14,14,14
1.41797,14,14,13
1.42188,13,13,13
1.42578,13,13,13
1.42969,13,13,13
1.43359,13,13,13
1.4375,13,13,13
1.44141,13,13,13
1.44531,13,13,14
1.44922,14,14,14
1.45312,14,14,14
1.45703,14,14,14
1.46094,14,14,14
1.46484,14,14,14
1.46875,14,14,13
1.47266,13,13,13
1.47656,13,13,13
1.48047,13,13,13
1.48438,13,13,13
1.48828,13,13,13
1.49219,13,13,14
1.49609,14,14,14
1.5,14,14,14
1.50391,14,14,14
1.50781,14,14,14
1.51172,14,14,14
1.51562,14,14,14
1.51953,14,14,15
1.52344,15,15,15
1.52734,15,15,15
1.53125,15,15,14
1.53516,14,14,14
